LINE-NUMBER,AUTHOR,TITLE,PUB-DATE,SENTENCE
45,Andrew Lang,Prince Prigio,1889,"Another made him beautiful for ever ; and another , brave ; and another , lucky : but the last fairy of all , a cross old thing , crept up and said , `` My child , you shall be too clever ! ''"
46,Andrew Lang,Prince Prigio,1889,"This fairy 's gift would have pleased the queen , if she had believed in it , more than anything else , because she was so clever herself ."
47,Andrew Lang,Prince Prigio,1889,"But she took no notice at all ; and the fairies went each to her own country , and none of them stayed there at the palace , where nobody believed in them , except the king , a little ."
48,Andrew Lang,Prince Prigio,1889,"But the queen tossed all their nice boots and caps , carpets , purses , swords , and all , away into a dark lumber-room ; for , of course , she thought that they were all nonsense , and merely old rubbish out of books , or pantomime `` properties . ''"
49,Andrew Lang,Prince Prigio,1889,"Well , the little prince grew up ."
50,Andrew Lang,Prince Prigio,1889,I think I 've told you that his name was Prigio -- did I not ?
51,Andrew Lang,Prince Prigio,1889,"Well , that was his name ."
52,Andrew Lang,Prince Prigio,1889,You can not think how clever he was .
53,Andrew Lang,Prince Prigio,1889,"He argued with his nurse as soon as he could speak , which was very soon ."
54,Andrew Lang,Prince Prigio,1889,"He argued that he did not like to be washed , because the soap got into his eyes ."
55,Andrew Lang,Prince Prigio,1889,"However , when he was told all about the pores of the skin , and how they could not be healthy if he was not washed , he at once ceased to resist , for he was very reasonable ."
56,Andrew Lang,Prince Prigio,1889,"He argued with his father that he did not see why there should be kings who were rich , while beggars were poor ; and why the king -- who was a little greedy -- should have poached eggs and plum-cake at afternoon tea , while many other persons went without dinner ."
57,Andrew Lang,Prince Prigio,1889,"The king was so surprised and hurt at these remarks that he boxed the prince 's ears , saying , `` I 'll teach you to be too clever , my lad . ''"
58,Andrew Lang,Prince Prigio,1889,"Then he remembered the awful curse of the oldest fairy , and was sorry for the rudeness of the queen ."
59,Andrew Lang,Prince Prigio,1889,"And when the prince , after having his ears boxed , said that `` force was no argument , '' the king went away in a rage ."
60,Andrew Lang,Prince Prigio,1889,"Indeed , I can not tell you how the prince was hated by all !"
61,Andrew Lang,Prince Prigio,1889,"He would go down into the kitchen , and show the cook how to make soup ."
62,Andrew Lang,Prince Prigio,1889,"He would visit the poor people 's cottage , and teach them how to make the beds , and how to make plum-pudding out of turnip-tops , and venison cutlets out of rusty bacon ."
63,Andrew Lang,Prince Prigio,1889,"He showed the fencing-master how to fence , and the professional cricketer how to bowl , and instructed the rat-catcher in breeding terriers ."
64,Andrew Lang,Prince Prigio,1889,"He set sums to the Chancellor of the Exchequer , and assured the Astronomer Royal that the sun does not go round the earth -- which , for my part , I believe it does ."
65,Andrew Lang,Prince Prigio,1889,"The young ladies of the Court disliked dancing with him , in spite of his good looks , because he was always asking , `` Have you read this ? '' and `` Have you read that ? '' -- and when they said they had n't , he sneered ; and when they said they had , he found them out ."
66,Andrew Lang,Prince Prigio,1889,"He found out all his tutors and masters in the same horrid way ; correcting the accent of his French teacher , and trying to get his German tutor not to eat peas with his knife ."
67,Andrew Lang,Prince Prigio,1889,"He also endeavoured to teach the queen-dowager , his grandmother , an art with which she had long been perfectly familiar !"
68,Andrew Lang,Prince Prigio,1889,"In fact , he knew everything better than anybody else ; and the worst of it was that he did : and he was never in the wrong , and he always said , `` Did n't I tell you so ? ''"
69,Andrew Lang,Prince Prigio,1889,"And , what was more , he had !"
70,Andrew Lang,Prince Prigio,1889,"As time went on , Prince Prigio had two younger brothers , whom everybody liked ."
71,Andrew Lang,Prince Prigio,1889,"They were not a bit clever , but jolly ."
72,Andrew Lang,Prince Prigio,1889,"Prince Alphonso , the third son , was round , fat , good-humoured , and as brave as a lion ."
73,Andrew Lang,Prince Prigio,1889,"Prince Enrico , the second , was tall , thin , and a little sad , but never too clever ."
74,Andrew Lang,Prince Prigio,1889,"Both were in love with two of their own cousins with the approval of their dear parents ; and all the world said , `` What nice , unaffected princes they are ! ''"
75,Andrew Lang,Prince Prigio,1889,But Prigio nearly got the country into several wars by being too clever for the foreign ambassadors .
76,Andrew Lang,Prince Prigio,1889,"Now , as Pantouflia was a rich , lazy country , which hated fighting , this was very unpleasant , and did not make people love Prince Prigio any better ."
77,Andrew Lang,Prince Prigio,1889,"Of all the people who did not like Prigio , his own dear papa , King Grognio , disliked him most ."
78,Andrew Lang,Prince Prigio,1889,"For the king knew he was not clever , himself ."
79,Andrew Lang,Prince Prigio,1889,"When he was in the counting-house , counting out his money , and when he happened to say , `` Sixteen shillings and fourteen and twopence are three pounds , fifteen , '' it made him wild to hear Prigio whisper , `` One pound , ten and twopence '' -- which , of course , it is ."
80,Andrew Lang,Prince Prigio,1889,"And the king was afraid that Prigio would conspire , and get made king himself -- which was the last thing Prigio really wanted ."
81,Andrew Lang,Prince Prigio,1889,"He much preferred to idle about , and know everything without seeming to take any trouble ."
82,Andrew Lang,Prince Prigio,1889,"Well , the king thought and thought ."
83,Andrew Lang,Prince Prigio,1889,"How was he to get Prigio out of the way , and make Enrico or Alphonso his successor ?"
84,Andrew Lang,Prince Prigio,1889,"He read in books about it ; and all the books showed that , if a king sent his three sons to do anything , it was always the youngest who did it , and got the crown ."
85,Andrew Lang,Prince Prigio,1889,And he wished he had the chance .
86,Andrew Lang,Prince Prigio,1889,"Well , it arrived at last ."
87,Andrew Lang,Prince Prigio,1889,There was a very hot summer !
88,Andrew Lang,Prince Prigio,1889,It began to be hot in March .
89,Andrew Lang,Prince Prigio,1889,All the rivers were dried up .
90,Andrew Lang,Prince Prigio,1889,The grass did not grow .
91,Andrew Lang,Prince Prigio,1889,The corn did not grow .
92,Andrew Lang,Prince Prigio,1889,The thermometers exploded with heat .
93,Andrew Lang,Prince Prigio,1889,The barometers stood at SET FAIR .
94,Andrew Lang,Prince Prigio,1889,"The people were much distressed , and came and broke the palace windows -- as they usually do when things go wrong in Pantouflia ."
95,Andrew Lang,Prince Prigio,1889,"The king consulted the learned men about the Court , who told him that probably a FIREDRAKE was in the neighbourhood ."
96,Andrew Lang,Prince Prigio,1889,"Now , the Firedrake is a beast , or bird , about the bigness of an elephant ."
97,Andrew Lang,Prince Prigio,1889,"Its body is made of iron , and it is always red-hot ."
98,Andrew Lang,Prince Prigio,1889,"A more terrible and cruel beast can not be imagined ; for , if you go near it , you are at once broiled by the Firedrake ."
99,Andrew Lang,Prince Prigio,1889,"But the king was not ill-pleased : `` for , '' thought he , `` of course my three sons must go after the brute , the eldest first ; and , as usual , it will kill the first two , and be beaten by the youngest ."
100,Andrew Lang,Prince Prigio,1889,"It is a little hard on Enrico , poor boy ; but anything to get rid of that Prigio ! ''"
101,Andrew Lang,Prince Prigio,1889,"Then the king went to Prigio , and said that his country was in danger , and that he was determined to leave the crown to whichever of them would bring him the horns for it has horns and tail of the Firedrake ."
102,Andrew Lang,Prince Prigio,1889,"`` It is an awkward brute to tackle , '' the king said , `` but you are the oldest , my lad ; go where glory waits you !"
103,Andrew Lang,Prince Prigio,1889,"Put on your armour , and be off with you ! ''"
104,Andrew Lang,Prince Prigio,1889, `` Put on your armour and be off with you ! ''
105,Andrew Lang,Prince Prigio,1889,": p18.jpg -RCB- This the king said , hoping that either the Firedrake would roast Prince Prigio alive which he could easily do , as I have said ; for he is all over as hot as a red-hot poker , or that , if the prince succeeded , at least his country would be freed from the monster ."
106,Andrew Lang,Prince Prigio,1889,"But the prince , who was lying on the sofa doing sums in compound division for fun , said in the politest way : `` Thanks to the education your majesty has given me , I have learned that the Firedrake , like the siren , the fairy , and so forth , is a fabulous animal which does not exist ."
107,Andrew Lang,Prince Prigio,1889,"But even granting , for the sake of argument , that there is a Firedrake , your majesty is well aware that there is no kind of use in sending me ."
108,Andrew Lang,Prince Prigio,1889,"It is always the eldest son who goes out first and comes to grief on these occasions , and it is always the third son that succeeds ."
109,Andrew Lang,Prince Prigio,1889,"Send Alphonso '' this was the youngest brother , `` and he will do the trick at once ."
110,Andrew Lang,Prince Prigio,1889,"At least , if he fails , it will be most unusual , and Enrico can try his luck . ''"
111,Andrew Lang,Prince Prigio,1889,"Then he went back to his arithmetic and his slate , and the king had to send for Prince Alphonso and Prince Enrico ."
112,Andrew Lang,Prince Prigio,1889,"They both came in very warm ; for they had been whipping tops , and the day was unusually hot ."
113,Andrew Lang,Prince Prigio,1889,"`` Look here , '' said the king , `` just you two younger ones look at Prigio !"
114,Andrew Lang,Prince Prigio,1889,"You see how hot it is , and how coolly he takes it , and the country suffering ; and all on account of a Firedrake , you know , which has apparently built his nest not far off ."
115,Andrew Lang,Prince Prigio,1889,"Well , I have asked that lout of a brother of yours to kill it , and he says -- '' `` That he does not believe in Firedrakes , '' interrupted Prigio ."
116,Andrew Lang,Prince Prigio,1889,`` The weather 's warm enough without going out hunting ! ''
117,Andrew Lang,Prince Prigio,1889,`` Not believe in Firedrakes ! '' cried Alphonso .
118,Andrew Lang,Prince Prigio,1889,`` I wonder what you do believe in !
119,Andrew Lang,Prince Prigio,1889,Just let me get at the creature ! '' for he was as brave as a lion .
120,Andrew Lang,Prince Prigio,1889,"`` Hi ! Page , my chain-armour , helmet , lance , and buckler ! A Molinda ! A Molinda ! '' which was his war-cry ."
121,Andrew Lang,Prince Prigio,1889,"The page ran to get the armour ; but it was so uncommonly hot that he dropped it , and put his fingers in his mouth , crying !"
122,Andrew Lang,Prince Prigio,1889,"`` You had better put on flannels , Alphonso , for this kind of work , '' said Prigio ."
123,Andrew Lang,Prince Prigio,1889,"`` And if I were you , I 'd take a light garden-engine , full of water , to squirt at the enemy . ''"
124,Andrew Lang,Prince Prigio,1889,`` Happy thought ! '' said Alphonso .
125,Andrew Lang,Prince Prigio,1889,`` I will ! ''
126,Andrew Lang,Prince Prigio,1889,"And off he went , kissed his dear Molinda , bade her keep a lot of dances for him there was to be a dance when he had killed the Firedrake , and then he rushed to the field !"
127,Andrew Lang,Prince Prigio,1889,But he never came back any more !
128,Andrew Lang,Prince Prigio,1889,"Everyone wept bitterly -- everyone but Prince Prigio ; for he thought it was a practical joke , and said that Alphonso had taken the opportunity to start off on his travels and see the world ."
129,Andrew Lang,Prince Prigio,1889,"`` There is some dreadful mistake , sir , '' said Prigio to the king ."
130,Andrew Lang,Prince Prigio,1889,"`` You know as well as I do that the youngest son has always succeeded , up to now ."
131,Andrew Lang,Prince Prigio,1889,But I entertain great hopes of Enrico ! ''
132,Andrew Lang,Prince Prigio,1889,"And he grinned ; for he fancied it was all nonsense , and that there were no Firedrakes ."
133,Andrew Lang,Prince Prigio,1889,Enrico was present when Prigio was consoling the king in this unfeeling way .
134,Andrew Lang,Prince Prigio,1889,"`` Enrico , my boy , '' said his majesty , `` the task awaits you , and the honour ."
135,Andrew Lang,Prince Prigio,1889,"When you come back with the horns and tail of the Firedrake , you shall be crown prince ; and Prigio shall be made an usher at the Grammar School -- it is all he is fit for . ''"
136,Andrew Lang,Prince Prigio,1889,Enrico was not quite so confident as Alphonso had been .
137,Andrew Lang,Prince Prigio,1889,He insisted on making his will ; and he wrote a poem about the pleasures and advantages of dying young .
138,Andrew Lang,Prince Prigio,1889,"This is part of it : The violet is a blossom sweet , That droops before the day is done -- Slain by thine overpowering heat , O Sun !"
139,Andrew Lang,Prince Prigio,1889,"And I , like that sweet purple flower , May roast , or boil , or broil , or bake , If burned by thy terrific power , Firedrake !"
140,Andrew Lang,Prince Prigio,1889,"This poem comforted Enrico more or less , and he showed it to Prigio ."
141,Andrew Lang,Prince Prigio,1889,"But the prince only laughed , and said that the second line of the last verse was not very good ; for violets do not `` roast , or boil , or broil , or bake . ''"
142,Andrew Lang,Prince Prigio,1889,"Enrico tried to improve it , but could not ."
143,Andrew Lang,Prince Prigio,1889,"So he read it to his cousin , Lady Kathleena , just as it was ; and she cried over it though I don't think she understood it ; and Enrico cried a little , too ."
144,Andrew Lang,Prince Prigio,1889,"However , next day he started , with a spear , a patent refrigerator , and a lot of the bottles people throw at fires to put them out ."
145,Andrew Lang,Prince Prigio,1889,But he never came back again !
146,Andrew Lang,Prince Prigio,1889,"After shedding torrents of tears , the king summoned Prince Prigio to his presence ."
147,Andrew Lang,Prince Prigio,1889,`` Dastard ! '' he said .
148,Andrew Lang,Prince Prigio,1889,`` Poltroon !
149,Andrew Lang,Prince Prigio,1889,"Your turn , which should have come first , has arrived at last ."
150,Andrew Lang,Prince Prigio,1889,You must fetch me the horns and the tail of the Firedrake .
151,Andrew Lang,Prince Prigio,1889,"Probably you will be grilled , thank goodness ; but who will give me back Enrico and Alphonso ? ''"
152,Andrew Lang,Prince Prigio,1889,"`` Indeed , your majesty , '' said Prigio , `` you must permit me to correct your policy ."
153,Andrew Lang,Prince Prigio,1889,"Your only reason for dispatching your sons in pursuit of this dangerous but I believe fabulous animal , was to ascertain which of us would most worthily succeed to your throne , at the date -- long may it be deferred ! -- of your lamented decease ."
154,Andrew Lang,Prince Prigio,1889,"Now , there can be no further question about the matter ."
155,Andrew Lang,Prince Prigio,1889,"I , unworthy as I am , represent the sole hope of the royal family ."
156,Andrew Lang,Prince Prigio,1889,Therefore to send me after the Firedrake were both dangerous and unnecessary .
157,Andrew Lang,Prince Prigio,1889,"Dangerous , because , if he treats me as you say he did my brothers -- my unhappy brothers , -- the throne of Pantouflia will want an heir ."
158,Andrew Lang,Prince Prigio,1889,"But , if I do come back alive -- why , I can not be more the true heir than I am at present ; now can I ?"
159,Andrew Lang,Prince Prigio,1889,"Ask the Lord Chief Justice , if you don't believe me . ''"
160,Andrew Lang,Prince Prigio,1889,"These arguments were so clearly and undeniably correct that the king , unable to answer them , withdrew into a solitary place where he could express himself with freedom , and give rein to his expression ."
161,Andrew Lang,Prince Prigio,1889,"Meanwhile , Prince Prigio had to suffer many unpleasant things ."
162,Andrew Lang,Prince Prigio,1889,"Though he was the crown prince and though his arguments were unanswerable , everybody shunned him for a coward ."
163,Andrew Lang,Prince Prigio,1889,"The queen , who did not believe in Firedrakes , alone took his side ."
164,Andrew Lang,Prince Prigio,1889,"He was not only avoided by all , but he had most disagreeable scenes with his own cousins , Lady Molinda and Lady Kathleena ."
165,Andrew Lang,Prince Prigio,1889,"In the garden Lady Molinda met him walking alone , and did not bow to him ."
166,Andrew Lang,Prince Prigio,1889,"`` Dear Molly , '' said the prince , who liked her , `` how have I been so unfortunate as to offend you ? ''"
167,Andrew Lang,Prince Prigio,1889,"`` My name , sir , is Lady Molinda , '' she said , very proudly ; `` and you have sent your own brother to his grave ! ''"
168,Andrew Lang,Prince Prigio,1889,"`` Oh , excuse me , '' said the prince , `` I am certain he has merely gone off on his travels ."
169,Andrew Lang,Prince Prigio,1889,"He 'll come back when he 's tired : there are no Firedrakes ; a French writer says they are ` purement fabuleux , ' purely fabulous , you know . ''"
170,Andrew Lang,Prince Prigio,1889," `` My name , sir , is Lady Molinda , she said . ''"
171,Andrew Lang,Prince Prigio,1889,": p29.jpg -RCB- `` Prince Alphonso has gone on his travels , and will come back when he is tired !"
172,Andrew Lang,Prince Prigio,1889,"And was he then -- tired -- of me ? '' cried poor Molinda , bursting into tears , and forgetting her dignity ."
173,Andrew Lang,Prince Prigio,1889,`` Oh !
174,Andrew Lang,Prince Prigio,1889,"I beg your pardon , I never noticed ; I 'm sure I am very sorry , '' cried the prince , who , never having been in love himself , never thought of other people ."
175,Andrew Lang,Prince Prigio,1889,"And he tried to take Molinda 's hand , but she snatched it from him and ran away through the garden to the palace , leaving Prince Prigio to feel foolish , for once , and ashamed ."
176,Andrew Lang,Prince Prigio,1889,"As for Lady Kathleena , she swept past him like a queen , without a word ."
177,Andrew Lang,Prince Prigio,1889,"So the prince , for all his cleverness , was not happy ."
178,Andrew Lang,Prince Prigio,1889,"After several days had gone by , the king returned from the solitary place where he had been speaking his mind ."
179,Andrew Lang,Prince Prigio,1889,He now felt calmer and better ; and so at last he came back to the palace .
180,Andrew Lang,Prince Prigio,1889,"But on seeing Prince Prigio , who was lolling in a hammock , translating Egyptian hieroglyphs into French poetry for his mother , the king broke out afresh , and made use of the most cruel and impolite expressions ."
181,Andrew Lang,Prince Prigio,1889,"At last , he gave orders that all the Court should pack up and move to a distant city ; and that Prince Prigio should be left alone in the palace by himself ."
182,Andrew Lang,Prince Prigio,1889,"For he was quite unendurable , the king said , and he could not trust his own temper when he thought of him ."
183,Andrew Lang,Prince Prigio,1889,"And he grew so fierce , that even the queen was afraid of him now ."
184,Andrew Lang,Prince Prigio,1889,"The poor queen cried a good deal ; Prigio being her favourite son , on account of his acknowledged ability and talent ."
185,Andrew Lang,Prince Prigio,1889,But the rest of the courtiers were delighted at leaving Prince Prigio behind .
186,Andrew Lang,Prince Prigio,1889,"For his part , he , very good-naturedly , showed them the best and shortest road to Falkenstein , the city where they were going ; and easily proved that neither the chief secretary for geography , nor the general of the army , knew anything about the matter -- which , indeed , they did not ."
187,Andrew Lang,Prince Prigio,1889,"The ungrateful courtiers left Prigio with hoots and yells , for they disliked him so much that they forgot he would be king one day ."
188,Andrew Lang,Prince Prigio,1889,"He therefore reminded them of this little fact in future history , which made them feel uncomfortable enough , and then lay down in his hammock and went to sleep ."
189,Andrew Lang,Prince Prigio,1889,"When he wakened , the air was cold and the day was beginning to grow dark ."
190,Andrew Lang,Prince Prigio,1889,"Prince Prigio thought he would go down and dine at a tavern in the town , for no servants had been left with him ."
191,Andrew Lang,Prince Prigio,1889,"But what was his annoyance when he found that his boots , his sword , his cap , his cloak -- all his clothes , in fact , except those he wore , -- had been taken away by the courtiers , merely to spite him !"
192,Andrew Lang,Prince Prigio,1889,"His wardrobe had been ransacked , and everything that had not been carried off had been cut up , burned , and destroyed ."
193,Andrew Lang,Prince Prigio,1889,Never was such a spectacle of wicked mischief .
194,Andrew Lang,Prince Prigio,1889,It was as if hay had been made of everything he possessed .
195,Andrew Lang,Prince Prigio,1889,"What was worse , he had not a penny in his pocket to buy new things ; and his father had stopped his allowance of fifty thousand pounds a month ."
196,Andrew Lang,Prince Prigio,1889,Can you imagine anything more cruel and unjust than this conduct ? for it was not the prince 's fault that he was so clever .
197,Andrew Lang,Prince Prigio,1889,The cruel fairy had made him so .
198,Andrew Lang,Prince Prigio,1889,"But , even if the prince had been born clever as may have happened to you , was he to be blamed for that ?"
199,Andrew Lang,Prince Prigio,1889,"The other people were just as much in fault for being born so stupid ; but the world , my dear children , can never be induced to remember this ."
200,Andrew Lang,Prince Prigio,1889,"If you are clever , you will find it best not to let people know it -- if you want them to like you ."
201,Andrew Lang,Prince Prigio,1889,"Well , here was the prince in a pretty plight ."
202,Andrew Lang,Prince Prigio,1889,"Not a pound in his pocket , not a pair of boots to wear , not even a cap to cover his head from the rain ; nothing but cold meat to eat , and never a servant to answer the bell ."
203,Andrew Lang,Prince Prigio,1889,"At last he climbed up a turret-stair in the very oldest part of the castle , where he had never been before ; and at the very top was a little round room , a kind of garret ."
204,Andrew Lang,Prince Prigio,1889,"The prince pushed in the door with some difficulty -- not that it was locked , but the handle was rusty , and the wood had swollen with the damp ."
205,Andrew Lang,Prince Prigio,1889,"The room was very dark ; only the last grey light of the rainy evening came through a slit of a window , one of those narrow windows that they used to fire arrows out of in old times ."
206,Andrew Lang,Prince Prigio,1889,But in the dusk the prince saw a heap of all sorts of things lying on the floor and on the table .
207,Andrew Lang,Prince Prigio,1889,"There were two caps ; he put one on -- an old , grey , ugly cap it was , made of felt ."
208,Andrew Lang,Prince Prigio,1889,"There was a pair of boots ; and he kicked off his slippers , and got into them ."
209,Andrew Lang,Prince Prigio,1889,"They were a good deal worn , but fitted as if they had been made for him ."
210,Andrew Lang,Prince Prigio,1889,"On the table was a purse with just three gold coins -- old ones , too -- in it ; and this , as you may fancy , the prince was very well pleased to put in his pocket ."
211,Andrew Lang,Prince Prigio,1889,"A sword , with a sword-belt , he buckled about his waist ; and the rest of the articles , a regular collection of odds and ends , he left just where they were lying ."
212,Andrew Lang,Prince Prigio,1889,"Then he ran downstairs , and walked out of the hall door ."
213,Andrew Lang,Prince Prigio,1889,By this time the prince was very hungry .
214,Andrew Lang,Prince Prigio,1889,"The town was just three miles off ; but he had such a royal appetite , that he did not like to waste it on bad cookery , and the people of the royal town were bad cooks ."
215,Andrew Lang,Prince Prigio,1889,"`` I wish I were in ` The Bear , ' at Gluckstein , '' said he to himself ; for he remembered that there was a very good cook there ."
216,Andrew Lang,Prince Prigio,1889,"But , then , the town was twenty-one leagues away -- sixty-three long miles !"
217,Andrew Lang,Prince Prigio,1889,"No sooner had the prince said this , and taken just three steps , than he found himself at the door of the `` Bear Inn '' at Gluckstein !"
218,Andrew Lang,Prince Prigio,1889,"`` This is the most extraordinary dream , '' said he to himself ; for he was far too clever , of course , to believe in seven-league boots ."
219,Andrew Lang,Prince Prigio,1889,"Yet he had a pair on at that very moment , and it was they which had carried him in three strides from the palace to Gluckstein !"
220,Andrew Lang,Prince Prigio,1889,"The truth is , that the prince , in looking about the palace for clothes , had found his way into that very old lumber-room where the magical gifts of the fairies had been thrown by his clever mother , who did not believe in them ."
221,Andrew Lang,Prince Prigio,1889,"But this , of course , the prince did not know ."
222,Andrew Lang,Prince Prigio,1889,Now you should be told that seven-league boots only take those prodigious steps when you say you want to go a long distance .
223,Andrew Lang,Prince Prigio,1889,"Otherwise they would be very inconvenient -- when you only want to cross the room , for example ."
224,Andrew Lang,Prince Prigio,1889,Perhaps this has not been explained to you by your governess ?
225,Andrew Lang,Prince Prigio,1889,"Well , the prince walked into `` The Bear , '' and it seemed odd to him that nobody took any notice of him ."
226,Andrew Lang,Prince Prigio,1889,"And yet his face was as well known as that of any man in Pantouflia , for everybody had seen it , at least in pictures ."
227,Andrew Lang,Prince Prigio,1889,"He was so puzzled by not being attended to as usual , that he quite forgot to take off his cap ."
228,Andrew Lang,Prince Prigio,1889,"He sat down at the table , however , and shouted '' Kellner ! '' at which all the waiters jumped , and looked round in every direction , but nobody came to him ."
229,Andrew Lang,Prince Prigio,1889,"At first he thought they were too busy , but presently another explanation occurred to him ."
230,Andrew Lang,Prince Prigio,1889,"`` The king , '' he said to himself , `` has threatened to execute anybody who speaks to me , or helps me in any way ."
231,Andrew Lang,Prince Prigio,1889,"Well , I don't mean to starve in the midst of plenty , anyhow ; here goes ! ''"
232,Andrew Lang,Prince Prigio,1889,"The prince rose , and went to the table in the midst of the room , where a huge roast turkey had just been placed ."
233,Andrew Lang,Prince Prigio,1889,"He helped himself to half the breast , some sausages , chestnut stuffing , bread sauce , potatoes , and a bottle of red wine -- Burgundy ."
234,Andrew Lang,Prince Prigio,1889,"He then went back to a table in a corner , where he dined very well , nobody taking any notice of him ."
235,Andrew Lang,Prince Prigio,1889,"When he had finished , he sat watching the other people dining , and smoking his cigarette ."
